시,지역명,법정동,단지명,금액_만원,전용면적,층,건축년도,거래년,거래월,거래일,거래일자,거래년월,거래유형,매수자,매도자,지역코드,지번
수원시,수원시 권선구,평동,동남(평동),41500,59.9219,7,1999,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,151
수원시,수원시 권선구,곡반정동,수원하늘채더퍼스트2단지,64400,74.88,9,2022,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,654
수원시,수원시 권선구,금곡동,엘지빌리지2,33600,59.997,5,1998,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,530
수원시,수원시 권선구,권선동,권선자이e편한세상,64000,84.9441,3,2011,2026,4,4,2026-04-04,2026-04,중개거래,개인,개인,41113,1330
수원시,수원시 권선구,권선동,신안풍림,38000,101.97,1,1996,2026,4,8,2026-04-08,2026-04,중개거래,개인,개인,41113,1235
수원시,수원시 권선구,권선동,"보성,유원",32750,59.76,4,1996,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,1265
수원시,수원시 권선구,당수동,한라비발디1단지,31000,59.98,4,2004,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,743
수원시,수원시 권선구,권선동,우남1,34800,59.75,8,2002,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,1315
수원시,수원시 권선구,권선동,삼천리2차,33000,59.955,11,1996,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,1238
수원시,수원시 권선구,호매실동,호매실스위첸,46000,59.9,13,2014,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,1394
수원시,수원시 권선구,곡반정동,수원하늘채더퍼스트1단지,61500,59.92,7,2022,2026,4,3,2026-04-03,2026-04,중개거래,개인,개인,41113,652
수원시,수원시 권선구,권선동,우남2,57000,106.022,14,2000,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,1320
수원시,수원시 권선구,서둔동,센트라우스,59500,59.9246,10,2005,2026,4,13,2026-04-13,2026-04,중개거래,개인,개인,41113,371
수원시,수원시 권선구,금곡동,거산,34800,84.96,4,1995,2026,4,17,2026-04-17,2026-04,중개거래,개인,개인,41113,104-3
수원시,수원시 권선구,권선동,수원아이파크시티9단지,37000,45.05,3,2017,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,1362
수원시,수원시 권선구,구운동,삼환(구운동),51000,73.62,6,1991,2026,4,17,2026-04-17,2026-04,중개거래,개인,개인,41113,462
수원시,수원시 권선구,권선동,삼천리2차,31000,59.955,4,1996,2026,4,10,2026-04-10,2026-04,중개거래,개인,개인,41113,1238
수원시,수원시 권선구,당수동,서수원한라비발디3단지,44900,55.81,10,2023,2026,4,4,2026-04-04,2026-04,중개거래,개인,개인,41113,333
수원시,수원시 권선구,권선동,우남2,56900,106.022,3,2000,2026,4,17,2026-04-17,2026-04,중개거래,개인,개인,41113,1320
수원시,수원시 권선구,호매실동,호매실경남아너스빌,45500,84.96,10,2011,2026,4,15,2026-04-15,2026-04,중개거래,개인,개인,41113,1388
수원시,수원시 권선구,서둔동,수원역한라비발디퍼스트,33900,49.0748,8,2021,2026,4,2,2026-04-02,2026-04,중개거래,개인,개인,41113,418
수원시,수원시 권선구,탑동,세양청마루,34000,84.463,12,2005,2026,4,14,2026-04-14,2026-04,중개거래,개인,개인,41113,896
수원시,수원시 권선구,구운동,선경(구운동),37300,84.4,8,1990,2026,4,16,2026-04-16,2026-04,중개거래,개인,개인,41113,466
수원시,수원시 권선구,금곡동,수원모아미래도센트럴타운1단지,78500,99.7854,22,2017,2026,4,6,2026-04-06,2026-04,중개거래,개인,개인,41113,1078
수원시,수원시 권선구,오목천동,오목천동대우푸르지오1단지,41500,84.9568,6,2006,2026,4,16,2026-04-16,2026-04,중개거래,개인,개인,41113,951
수원시,수원시 권선구,구운동,동은101동,36000,83.38,3,2007,2026,4,16,2026-04-16,2026-04,중개거래,개인,개인,41113,902-7
수원시,수원시 권선구,당수동,서수원한라비발디3단지,45000,55.81,16,2023,2026,4,11,2026-04-11,2026-04,중개거래,개인,개인,41113,333
수원시,수원시 권선구,서둔동,화서성일,26000,49.83,3,1987,2026,4,16,2026-04-16,2026-04,중개거래,개인,개인,41113,361-1
